Game,Date,Attendance,Team,Score
STL @ PIT,2025-04-09T16:35Z,8430,Pittsburgh Pirates,2
STL @ PIT,2025-04-09T16:35Z,8430,St. Louis Cardinals,1
MIA @ NYM,2025-04-09T17:10Z,29232,New York Mets,0
MIA @ NYM,2025-04-09T17:10Z,29232,Miami Marlins,5
NYY @ DET,2025-04-09T17:10Z,14616,Detroit Tigers,3
NYY @ DET,2025-04-09T17:10Z,14616,New York Yankees,4
TEX @ CHC,2025-04-09T18:20Z,23590,Chicago Cubs,2
TEX @ CHC,2025-04-09T18:20Z,23590,Texas Rangers,6
SD @ ATH,2025-04-09T19:35Z,10553,Athletics,1
SD @ ATH,2025-04-09T19:35Z,10553,San Diego Padres,2
BAL @ ARI,2025-04-09T19:40Z,22411,Arizona Diamondbacks,9
BAL @ ARI,2025-04-09T19:40Z,22411,Baltimore Orioles,0
CIN @ SF,2025-04-09T19:45Z,35186,San Francisco Giants,8
CIN @ SF,2025-04-09T19:45Z,35186,Cincinnati Reds,6
LAD @ WSH,2025-04-09T20:05Z,21014,Washington Nationals,5
LAD @ WSH,2025-04-09T20:05Z,21014,Los Angeles Dodgers,6
HOU @ SEA,2025-04-09T20:10Z,20556,Seattle Mariners,7
HOU @ SEA,2025-04-09T20:10Z,20556,Houston Astros,6
CHW @ CLE,2025-04-09T22:10Z,12997,Cleveland Guardians,3
CHW @ CLE,2025-04-09T22:10Z,12997,Chicago White Sox,2
TOR @ BOS,2025-04-09T22:45Z,0,Boston Red Sox,1
TOR @ BOS,2025-04-09T22:45Z,0,Toronto Blue Jays,1
LAA @ TB,2025-04-09T23:05Z,0,Tampa Bay Rays,4
LAA @ TB,2025-04-09T23:05Z,0,Los Angeles Angels,3
PHI @ ATL,2025-04-09T23:15Z,0,Atlanta Braves,0
PHI @ ATL,2025-04-09T23:15Z,0,Philadelphia Phillies,0
MIN @ KC,2025-04-09T23:40Z,0,Kansas City Royals,0
MIN @ KC,2025-04-09T23:40Z,0,Minnesota Twins,1
MIL @ COL,2025-04-10T00:40Z,0,Colorado Rockies,0
MIL @ COL,2025-04-10T00:40Z,0,Milwaukee Brewers,0
